GEMEENTE;JAAR;PERIODE;BELEIDSPROGRAMMA;ORGANISATIE; SUBSIDIE BESCHIKT ;BEKOSTIGD UIT RIJKSINKOMSTEN;WETTELIJKE TAAK;GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Pauluskoor; 3.000,00 ;Nee;Nee;Het uitvoeren van de musical Maria.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Internationale Orgelweek Vlaardingen; 3.475,00 ;Nee;Nee;Welzijnssubsidie: Het organiseren van lunchconcerten, vrijdagavondconcerten, wandelconcerten, educatieve activiteiten en de internationale orgelweek.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Kade40; 3.500,00 ;Nee;Nee;Culturele fietstocht.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Vlaardings Filmfestival; 4.000,00 ;Nee;Nee;Het organiseren van het Vlaardings Filmfestival 2017, met zowel publieksactiviteiten als educatieve activiteiten.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Kade40; 4.375,00 ;Nee;Nee;Het realiseren van het project De Nacht van de Creativiteit.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Zomerterras; 4.500,00 ;Nee;Nee;Zomerterras Concerten.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Jazz aan de Waterweg; 4.999,00 ;Nee;Nee;Het opstarten van jzz combo's en een big band.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Elly Dijkshoorn; 4.999,00 ;Nee;Nee;Het realiseren van het beelden kunstproject, met als onderwerp het huis van dokter Moerman. Een zoektocht naar beelden op het Landgoed Hoogstad, met een presentatie en publicatie van de resultaten.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Vlaardingen 1018 i.o.; 5.000,00 ;Nee;Nee;Oprichting van de stichting.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Villa Palagonia; 5.000,00 ;Nee;Nee;Organiseren van Forumdiscussie Villa Palagonia.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Flagen; 5.500,00 ;Nee;Nee;Rijksstudio.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Waterweg Cultuurprijs; 6.000,00 ;Nee;Nee;Waterweg Cultuurprijs.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Big Ben; 6.500,00 ;Nee;Nee;Beiaarddag.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Geuzenmaand; 7.500,00 ;Nee;Nee;Geuzenmaand.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;CJV Vlaardingen; 8.000,00 ;Nee;Nee;Intocht van Sinterklaas.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Varend Corso Westland; 10.000,00 ;Nee;Nee;Organiseren Varend Corso 2017 als voorproefje op het thema van 2018 'Het Ontstaan van Holland' in het kader van Vieren en Herdenken Slag bij Vlaardingen.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Stadspodium ; 10.000,00 ;Nee;Nee;Stadsterrassen.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Buitenbios / Filmtheater Het Zeepaard; 13.000,00 ;Nee;Nee;Welzijnssubsidie: Het organiseren van cultureel filmaanbod, educatieve activiteiten voor basisonderwijs en voortgezet onderwijs, korte film poule, filmlezingen en filmcursussen.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Vlaardings Centrum voor Amateurtoneel; 14.450,00 ;Nee;Nee;Welzijnssubsidie: Beheer en beschikbaar stellen van repetitieruimte aan amateurtoneelverenigingen, exploitatie podium voor toneelvoorstellingen en andere theaterproducties, organiseren Vlaardings Eenakterfestival en schoolvoorstelling.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Nationale Gedenkdagen Vlaardingen; 17.500,00 ;Nee;Nee;Koningsdag.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Halen en Brengen ; 24.000,00 ;Nee;Nee;VL.Loggerfestival.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Zomerterras; 46.000,00 ;Nee;Nee;Zomerterras.
